product_id,platform,platform_id,was_active,stage,title
731,amazon,B0BL39VYWW,true,amazon_done,"【テープ 新生児サイズ】ムーニー マシュマロ肌ごこち モレ安心 オムツ（お誕生~5000gまで）76枚"
363,amazon,B01N1PKISE,true,amazon_done,"ユニチャーム ムーニー エアフィット お誕生～3000g 新生児用 テープタイプ 64枚【3個セット】"
372,amazon,B004OR2EHC,true,amazon_done,"【パンツ Lサイズ】メリーズさらさらエアスルー (9~14kg)56枚"
463,amazon,B0015MUYL2,true,amazon_done,"【水遊びパンツ Mサイズ】ムーニー水あそびパンツ 女の子 (7~10kg)3枚"
613,amazon,B0DJPDFSSW,true,amazon_done,"メリーズ 【パンツ Mサイズ】ずっと肌さらエアスルー (6~11kg)62枚 【Amazon.co.jp限定】"
504,amazon,B00187KHWK,true,amazon_done,"【パンツ Lサイズ】メリーズさらさらエアスルー (9~14kg)44枚"
540,amazon,B07FFH5NHR,true,amazon_done,"大王製紙 グーン パンツ まっさらさら通気 Lサイズ 女の子 56枚入 E521647H"
588,amazon,B0FNCKFYNR,true,amazon_done,"メリーズ パンツ 素肌さらさらエアスルー ビッグ XL 12-22kg 138枚 46枚x3パック 67492 ずっと肌さらエアスルー紙おむつ 赤ちゃん 箱入り 大容量 花王"
653,amazon,B01CG1TB4Q,true,amazon_done,"【テープ 小さめ新生児サイズ】ムーニー オムツ (3000gまで)64枚"
769,amazon,B09FY11H1L,true,amazon_done,"アンパンマン 純水99.9% おしりふき デコボコ 厚手 シート 赤ちゃん 日本製 60枚×3個 (180枚)"
1006,amazon,B0CG8DZHCF,true,amazon_done,"コストコ RICO 赤ちゃん用 お尻拭き BABY WIPES 大容量 ケース 900枚(100×9個) (1)(y-courage商標登録済)"
9059,amazon,B09FX58PY3,true,amazon_done,"レック(LEC) 純水ベビーケア 純水 99% おしりふき 80枚×3個 (240枚) 弱酸性 日本製"
966,amazon,B09BNT8KZC,true,amazon_done,"【美浜卸売-ORS4A01】ダッコ 赤ちゃんにやさしい おしりふきコットン 約８ｃｍ×１２ｃｍ ８０枚入×2個セット"
972,amazon,B0BD4J9RSF,true,amazon_done,"【まとめ買い】T.H.T 純水99% ヒアルロン酸配合 水分たっぷり 赤ちゃん 新生児からのおしりふき 80枚x3個パックx3セット(720枚入り)"
737,amazon,B09FX8ST8X,true,amazon_done,"レック(LEC) 純水ベビーケア 純水 99% おしりふき 80枚×3個 (240枚) 弱酸性 日本製"
1013,amazon,B08V8WSFPT,true,amazon_done,"【おしりふき 詰替用】ピジョン Pigeon おしりナップ ふわふわ厚手仕上げ ベビーオイルイン 66枚×6パック"
1161,amazon,B00U6ZBLZW,true,amazon_done,"タップリッチ 【おしりふき 詰替用】グーン 肌にやさしいおしりふき 1680枚(70枚×24個) [ケース販売] (ディズニーデザイン) 【Amazon.co.jp限定】"
2357,amazon,B09S5QL6F3,true,amazon_done,"【和光堂】 レーベンスミルク はいはい 810g×2缶パック(おしりふき付き) 粉ミルク 粉末 [0か月から1歳頃] ベビーミルク DHA・アラキドン酸配合"
2209,amazon,B09S5R75MT,true,amazon_done,"【和光堂】 フォローアップミルク ぐんぐん 830g×2缶パック(おしりふき付き) 粉ミルク 粉末 [満9か月頃から3歳頃] ベビーミルク 鉄・カルシウム・DHA配合"
7831,amazon,B01G3B3F4M,true,amazon_done,"ピジョン ベビークリーム 50g (0ヵ月~)×2個パック"
4583,amazon,B0GFD9PCVT,true,amazon_done,"[tecopeco] 離乳食エプロン 2枚セット 食洗器対応 ベビースタイ ～柔らかシリコン素材～【くるっと畳んでコンパクト収納】お家でも外食でも◎ お食事エプロン ベビー 防水 シリコンビブ"
8220,amazon,B0GZ5WJYFF,true,amazon_done,"【２個】アトピタ 保湿UVクリーム SPF50(PA++++) 30gX2個(4987133015452-2)"
1738,amazon,B0CKYG1PC9,true,amazon_done,"スケーター(Skater) 哺乳瓶 ポーチ 哺乳瓶ケース 哺乳瓶カバー はらぺこあおむし BHOP2-A"
4593,amazon,B09SFPSTZ2,true,amazon_done,"[kalavika] お食事エプロン 長袖 6ヶ月～54ヶ月 赤ちゃん お食事スタイ 女の子 男の子 ベビー ビブ 防水 軽量 ポケット付き スモック 子供 食事用エプロン 保育園 ベビーギフト 出産祝い"
